user_id,gym_id,checkin_time,checkout_time,workout_type,calories_burned,duration_minutes,session_date,session_month,session_weekday,session_hour,valid_duration,calories_per_minute,age,age_group,gender,user_location,subscription_plan,sign_up_date,location,gym_type,facilities,price_per_month
user_1099,gym_3,2023-09-15 17:45:00,2023-09-15 18:45:00,Swimming,556,60.0,2023-09-15,2023-09,Friday,17,True,9.266666666666667,64,55-64,Female,Detroit,Pro,2021-07-20,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",49.99
user_2397,gym_7,2023-07-27 16:07:00,2023-07-27 18:09:00,Yoga,454,122.0,2023-07-27,2023-07,Thursday,16,True,3.721311475409836,22,18-24,Female,Detroit,Student,2021-03-05,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",9.99
user_975,gym_10,2023-05-06 11:41:00,2023-05-06 14:14:00,CrossFit,1069,153.0,2023-05-06,2023-05,Saturday,11,True,6.9869281045751634,43,35-44,Non-binary,San Francisco,Student,2021-01-13,San Jose,Premium,"Swimming Pool, Sauna, CrossFit",9.99
user_4489,gym_8,2023-04-06 17:32:00,2023-04-06 19:22:00,Yoga,886,110.0,2023-04-06,2023-04,Thursday,17,True,8.054545454545455,19,18-24,Male,Detroit,Student,2023-09-27,San Diego,Standard,"Basketball Court, Sauna, CrossFit",9.99
user_4650,gym_10,2023-05-01 15:05:00,2023-05-01 15:59:00,Cardio,379,54.0,2023-05-01,2023-05,Monday,15,True,7.018518518518518,52,45-54,Female,Miami,Pro,2022-11-20,San Jose,Premium,"Swimming Pool, Sauna, CrossFit",49.99
user_2895,gym_5,2023-02-09 20:47:00,2023-02-09 22:33:00,Pilates,737,106.0,2023-02-09,2023-02,Thursday,20,True,6.952830188679245,43,35-44,Male,San Francisco,Student,2022-10-01,Phoenix,Standard,"Basketball Court, CrossFit, Swimming Pool",9.99
user_3280,gym_3,2023-05-10 14:08:00,2023-05-10 16:24:00,Pilates,556,136.0,2023-05-10,2023-05,Wednesday,14,True,4.088235294117647,37,35-44,Non-binary,Las Vegas,Basic,2023-01-10,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",19.99
user_4922,gym_6,2023-05-29 16:01:00,2023-05-29 17:06:00,Pilates,1930,65.0,2023-05-29,2023-05,Monday,16,True,29.692307692307693,56,55-64,Male,Las Vegas,Basic,2023-07-04,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",19.99
user_4840,gym_7,2023-03-23 19:35:00,2023-03-23 22:20:00,Swimming,511,165.0,2023-03-23,2023-03,Thursday,19,True,3.096969696969697,26,25-34,Female,Seattle,Pro,2021-10-02,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",49.99
user_2225,gym_1,2023-04-09 08:31:00,2023-04-09 09:36:00,Weightlifting,813,65.0,2023-04-09,2023-04,Sunday,8,True,12.507692307692308,64,55-64,Male,San Francisco,Basic,2021-07-07,New York,Premium,"Climbing Wall, Swimming Pool, Basketball Court",19.99
user_2559,gym_10,2023-02-22 17:48:00,2023-02-22 20:29:00,Cardio,730,161.0,2023-02-22,2023-02,Wednesday,17,True,4.53416149068323,22,18-24,Female,Las Vegas,Student,2023-01-12,San Jose,Premium,"Swimming Pool, Sauna, CrossFit",9.99
user_3691,gym_4,2023-10-14 17:05:00,2023-10-14 19:45:00,Pilates,1636,160.0,2023-10-14,2023-10,Saturday,17,True,10.225,52,45-54,Non-binary,San Francisco,Student,2022-11-26,Houston,Premium,"Climbing Wall, Basketball Court, Swimming Pool",9.99
user_139,gym_4,2023-01-26 18:24:00,2023-01-26 19:11:00,CrossFit,432,47.0,2023-01-26,2023-01,Thursday,18,True,9.191489361702128,56,55-64,Female,Detroit,Basic,2021-09-16,Houston,Premium,"Climbing Wall, Basketball Court, Swimming Pool",19.99
user_3174,gym_3,2023-01-31 10:53:00,2023-01-31 13:09:00,Yoga,1296,136.0,2023-01-31,2023-01,Tuesday,10,True,9.529411764705882,33,25-34,Female,Boston,Basic,2021-01-08,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",19.99
user_2521,gym_3,2023-07-12 10:31:00,2023-07-12 13:06:00,Weightlifting,1192,155.0,2023-07-12,2023-07,Wednesday,10,True,7.690322580645161,19,18-24,Male,Orlando,Student,2022-03-07,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",9.99
user_4638,gym_4,2023-06-16 08:57:00,2023-06-16 11:46:00,CrossFit,321,169.0,2023-06-16,2023-06,Friday,8,True,1.8994082840236686,38,35-44,Male,Orlando,Basic,2022-06-15,Houston,Premium,"Climbing Wall, Basketball Court, Swimming Pool",19.99
user_2242,gym_6,2023-01-16 07:34:00,2023-01-16 08:28:00,CrossFit,1079,54.0,2023-01-16,2023-01,Monday,7,True,19.98148148148148,48,45-54,Male,Miami,Basic,2023-03-09,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",19.99
user_3828,gym_5,2023-02-11 06:54:00,2023-02-11 07:49:00,Cardio,1714,55.0,2023-02-11,2023-02,Saturday,6,True,31.163636363636364,61,55-64,Male,Las Vegas,Basic,2021-07-12,Phoenix,Standard,"Basketball Court, CrossFit, Swimming Pool",19.99
user_1338,gym_10,2023-08-11 16:42:00,2023-08-11 19:27:00,Cardio,273,165.0,2023-08-11,2023-08,Friday,16,True,1.6545454545454545,46,45-54,Male,Seattle,Student,2022-08-05,San Jose,Premium,"Swimming Pool, Sauna, CrossFit",9.99
user_4090,gym_6,2023-05-07 08:18:00,2023-05-07 08:57:00,Swimming,501,39.0,2023-05-07,2023-05,Sunday,8,True,12.846153846153847,61,55-64,Male,Denver,Basic,2022-10-31,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",19.99
user_2853,gym_7,2023-05-01 18:52:00,2023-05-01 20:19:00,Yoga,704,87.0,2023-05-01,2023-05,Monday,18,True,8.091954022988507,48,45-54,Female,Orlando,Student,2023-05-19,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",9.99
user_2295,gym_6,2023-07-21 14:42:00,2023-07-21 16:31:00,CrossFit,932,109.0,2023-07-21,2023-07,Friday,14,True,8.55045871559633,50,45-54,Male,Atlanta,Student,2022-07-28,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",9.99
user_2678,gym_4,2023-08-27 11:06:00,2023-08-27 12:13:00,CrossFit,951,67.0,2023-08-27,2023-08,Sunday,11,True,14.194029850746269,38,35-44,Male,Orlando,Student,2021-10-17,Houston,Premium,"Climbing Wall, Basketball Court, Swimming Pool",9.99
user_73,gym_2,2023-01-17 12:51:00,2023-01-17 13:26:00,Yoga,667,35.0,2023-01-17,2023-01,Tuesday,12,True,19.057142857142857,53,45-54,Non-binary,Miami,Pro,2021-08-19,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",49.99
user_2879,gym_4,2023-04-04 09:23:00,2023-04-04 10:28:00,Weightlifting,1431,65.0,2023-04-04,2023-04,Tuesday,9,True,22.015384615384615,43,35-44,Female,Orlando,Pro,2023-09-09,Houston,Premium,"Climbing Wall, Basketball Court, Swimming Pool",49.99
user_2142,gym_6,2023-10-15 07:43:00,2023-10-15 09:25:00,Pilates,735,102.0,2023-10-15,2023-10,Sunday,7,True,7.205882352941177,51,45-54,Male,Austin,Student,2021-01-12,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",9.99
user_4531,gym_4,2023-08-09 15:17:00,2023-08-09 15:55:00,Weightlifting,1018,38.0,2023-08-09,2023-08,Wednesday,15,True,26.789473684210527,53,45-54,Female,Atlanta,Student,2023-04-10,Houston,Premium,"Climbing Wall, Basketball Court, Swimming Pool",9.99
user_1807,gym_8,2023-03-25 12:11:00,2023-03-25 13:43:00,Pilates,1373,92.0,2023-03-25,2023-03,Saturday,12,True,14.923913043478262,41,35-44,Female,Miami,Student,2023-06-20,San Diego,Standard,"Basketball Court, Sauna, CrossFit",9.99
user_2046,gym_1,2023-10-13 07:49:00,2023-10-13 10:07:00,Yoga,627,138.0,2023-10-13,2023-10,Friday,7,True,4.543478260869565,23,18-24,Male,Denver,Student,2021-09-10,New York,Premium,"Climbing Wall, Swimming Pool, Basketball Court",9.99
user_3503,gym_7,2023-04-05 14:36:00,2023-04-05 17:00:00,Yoga,717,144.0,2023-04-05,2023-04,Wednesday,14,True,4.979166666666667,21,18-24,Male,Denver,Student,2023-04-12,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",9.99
user_4553,gym_6,2023-09-23 12:18:00,2023-09-23 13:47:00,Weightlifting,779,89.0,2023-09-23,2023-09,Saturday,12,True,8.752808988764045,43,35-44,Female,Detroit,Student,2022-07-22,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",9.99
user_3502,gym_4,2023-09-15 13:12:00,2023-09-15 14:34:00,Swimming,491,82.0,2023-09-15,2023-09,Friday,13,True,5.987804878048781,24,18-24,Male,Orlando,Student,2021-02-05,Houston,Premium,"Climbing Wall, Basketball Court, Swimming Pool",9.99
user_2277,gym_1,2023-09-11 13:12:00,2023-09-11 15:10:00,Weightlifting,1254,118.0,2023-09-11,2023-09,Monday,13,True,10.627118644067796,54,45-54,Female,Austin,Basic,2023-06-16,New York,Premium,"Climbing Wall, Swimming Pool, Basketball Court",19.99
user_2078,gym_6,2023-10-15 12:56:00,2023-10-15 15:00:00,Swimming,764,124.0,2023-10-15,2023-10,Sunday,12,True,6.161290322580645,37,35-44,Male,Denver,Pro,2023-09-24,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",49.99
user_1649,gym_2,2023-02-16 13:01:00,2023-02-16 15:48:00,Weightlifting,364,167.0,2023-02-16,2023-02,Thursday,13,True,2.179640718562874,41,35-44,Female,Las Vegas,Pro,2021-07-31,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",49.99
user_335,gym_10,2023-09-03 06:02:00,2023-09-03 07:50:00,Pilates,364,108.0,2023-09-03,2023-09,Sunday,6,True,3.3703703703703702,45,45-54,Female,Austin,Student,2022-02-05,San Jose,Premium,"Swimming Pool, Sauna, CrossFit",9.99
user_4756,gym_3,2023-01-07 14:10:00,2023-01-07 15:28:00,Cardio,525,78.0,2023-01-07,2023-01,Saturday,14,True,6.730769230769231,30,25-34,Male,Detroit,Student,2021-08-11,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",9.99
user_4665,gym_6,2023-09-01 06:50:00,2023-09-01 08:15:00,Yoga,438,85.0,2023-09-01,2023-09,Friday,6,True,5.152941176470589,49,45-54,Female,Orlando,Basic,2022-01-09,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",19.99
user_4273,gym_5,2023-06-28 11:45:00,2023-06-28 12:49:00,Weightlifting,1350,64.0,2023-06-28,2023-06,Wednesday,11,True,21.09375,20,18-24,Female,San Francisco,Student,2023-02-28,Phoenix,Standard,"Basketball Court, CrossFit, Swimming Pool",9.99
user_2872,gym_3,2023-06-19 11:05:00,2023-06-19 12:03:00,CrossFit,504,58.0,2023-06-19,2023-06,Monday,11,True,8.689655172413794,32,25-34,Male,Orlando,Student,2023-05-10,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",9.99
user_2616,gym_5,2023-04-18 13:42:00,2023-04-18 15:36:00,Weightlifting,1564,114.0,2023-04-18,2023-04,Tuesday,13,True,13.719298245614034,32,25-34,Female,Denver,Pro,2022-07-04,Phoenix,Standard,"Basketball Court, CrossFit, Swimming Pool",49.99
user_4873,gym_5,2023-08-03 07:56:00,2023-08-03 08:33:00,Cardio,617,37.0,2023-08-03,2023-08,Thursday,7,True,16.675675675675677,59,55-64,Female,Austin,Pro,2023-05-03,Phoenix,Standard,"Basketball Court, CrossFit, Swimming Pool",49.99
user_4173,gym_3,2023-04-13 20:49:00,2023-04-13 21:33:00,Swimming,189,44.0,2023-04-13,2023-04,Thursday,20,True,4.295454545454546,37,35-44,Female,Boston,Basic,2023-04-12,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",19.99
user_933,gym_9,2023-05-19 12:01:00,2023-05-19 13:07:00,Weightlifting,220,66.0,2023-05-19,2023-05,Friday,12,True,3.3333333333333335,51,45-54,Female,Denver,Student,2022-11-04,Dallas,Premium,"Sauna, CrossFit, Yoga Classes",9.99
user_636,gym_10,2023-04-22 13:40:00,2023-04-22 16:19:00,CrossFit,672,159.0,2023-04-22,2023-04,Saturday,13,True,4.226415094339623,43,35-44,Male,Detroit,Student,2021-06-24,San Jose,Premium,"Swimming Pool, Sauna, CrossFit",9.99
user_3230,gym_7,2023-06-24 17:28:00,2023-06-24 19:35:00,Cardio,493,127.0,2023-06-24,2023-06,Saturday,17,True,3.8818897637795278,39,35-44,Male,Seattle,Pro,2022-04-13,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",49.99
user_1191,gym_5,2023-02-08 15:14:00,2023-02-08 18:12:00,Yoga,683,178.0,2023-02-08,2023-02,Wednesday,15,True,3.837078651685393,60,55-64,Female,Orlando,Pro,2023-01-30,Phoenix,Standard,"Basketball Court, CrossFit, Swimming Pool",49.99
user_12,gym_3,2023-07-05 06:22:00,2023-07-05 08:30:00,Cardio,935,128.0,2023-07-05,2023-07,Wednesday,6,True,7.3046875,41,35-44,Female,Miami,Student,2023-10-02,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",9.99
user_4003,gym_2,2023-04-30 18:11:00,2023-04-30 20:35:00,Cardio,1721,144.0,2023-04-30,2023-04,Sunday,18,True,11.95138888888889,45,45-54,Male,San Francisco,Basic,2023-03-15,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",19.99
user_4927,gym_9,2023-09-21 08:14:00,2023-09-21 10:17:00,Pilates,635,123.0,2023-09-21,2023-09,Thursday,8,True,5.162601626016261,40,35-44,Male,Austin,Student,2023-09-10,Dallas,Premium,"Sauna, CrossFit, Yoga Classes",9.99
user_1450,gym_8,2023-08-14 14:10:00,2023-08-14 16:58:00,CrossFit,1733,168.0,2023-08-14,2023-08,Monday,14,True,10.31547619047619,35,35-44,Female,Miami,Pro,2022-07-13,San Diego,Standard,"Basketball Court, Sauna, CrossFit",49.99
user_449,gym_6,2023-06-24 07:23:00,2023-06-24 09:59:00,Cardio,524,156.0,2023-06-24,2023-06,Saturday,7,True,3.358974358974359,22,18-24,Female,Atlanta,Student,2023-03-04,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",9.99
user_2497,gym_7,2023-05-29 20:53:00,2023-05-29 22:29:00,Weightlifting,574,96.0,2023-05-29,2023-05,Monday,20,True,5.979166666666667,62,55-64,Female,Austin,Pro,2022-02-01,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",49.99
user_427,gym_6,2023-05-18 15:57:00,2023-05-18 17:23:00,Cardio,311,86.0,2023-05-18,2023-05,Thursday,15,True,3.616279069767442,47,45-54,Male,Orlando,Pro,2022-04-02,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",49.99
user_916,gym_5,2023-10-05 15:49:00,2023-10-05 18:44:00,Cardio,470,175.0,2023-10-05,2023-10,Thursday,15,True,2.6857142857142855,62,55-64,Male,Las Vegas,Basic,2023-04-04,Phoenix,Standard,"Basketball Court, CrossFit, Swimming Pool",19.99
user_3170,gym_3,2023-04-30 10:07:00,2023-04-30 11:31:00,CrossFit,575,84.0,2023-04-30,2023-04,Sunday,10,True,6.845238095238095,44,35-44,Female,Denver,Student,2022-02-14,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",9.99
user_4727,gym_2,2023-09-12 10:31:00,2023-09-12 12:35:00,Swimming,1744,124.0,2023-09-12,2023-09,Tuesday,10,True,14.064516129032258,45,45-54,Female,San Francisco,Pro,2021-08-28,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",49.99
user_4322,gym_4,2023-04-22 13:45:00,2023-04-22 16:31:00,Pilates,940,166.0,2023-04-22,2023-04,Saturday,13,True,5.662650602409639,58,55-64,Female,San Francisco,Pro,2022-07-24,Houston,Premium,"Climbing Wall, Basketball Court, Swimming Pool",49.99
user_447,gym_7,2023-02-23 12:46:00,2023-02-23 14:27:00,Pilates,1196,101.0,2023-02-23,2023-02,Thursday,12,True,11.841584158415841,33,25-34,Male,Miami,Student,2021-08-14,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",9.99
user_1911,gym_9,2023-03-10 19:52:00,2023-03-10 22:12:00,Cardio,1055,140.0,2023-03-10,2023-03,Friday,19,True,7.535714285714286,59,55-64,Female,Boston,Student,2021-03-08,Dallas,Premium,"Sauna, CrossFit, Yoga Classes",9.99
user_3736,gym_9,2023-10-15 06:41:00,2023-10-15 09:16:00,Weightlifting,334,155.0,2023-10-15,2023-10,Sunday,6,True,2.1548387096774193,36,35-44,Male,Boston,Basic,2021-11-13,Dallas,Premium,"Sauna, CrossFit, Yoga Classes",19.99
user_2251,gym_5,2023-03-25 12:41:00,2023-03-25 14:04:00,Cardio,1221,83.0,2023-03-25,2023-03,Saturday,12,True,14.710843373493976,53,45-54,Male,Boston,Basic,2022-09-10,Phoenix,Standard,"Basketball Court, CrossFit, Swimming Pool",19.99
user_4771,gym_1,2023-01-17 07:01:00,2023-01-17 09:45:00,Cardio,1223,164.0,2023-01-17,2023-01,Tuesday,7,True,7.4573170731707314,60,55-64,Male,Orlando,Basic,2022-08-15,New York,Premium,"Climbing Wall, Swimming Pool, Basketball Court",19.99
user_2682,gym_7,2023-06-06 17:24:00,2023-06-06 18:25:00,Pilates,899,61.0,2023-06-06,2023-06,Tuesday,17,True,14.737704918032787,57,55-64,Male,Austin,Basic,2021-05-27,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",19.99
user_1402,gym_9,2023-03-02 13:45:00,2023-03-02 15:24:00,Yoga,1275,99.0,2023-03-02,2023-03,Thursday,13,True,12.878787878787879,60,55-64,Female,Atlanta,Pro,2022-03-06,Dallas,Premium,"Sauna, CrossFit, Yoga Classes",49.99
user_3408,gym_1,2023-03-05 06:56:00,2023-03-05 08:52:00,Cardio,587,116.0,2023-03-05,2023-03,Sunday,6,True,5.060344827586207,64,55-64,Female,Denver,Student,2023-09-13,New York,Premium,"Climbing Wall, Swimming Pool, Basketball Court",9.99
user_1044,gym_2,2023-06-21 06:31:00,2023-06-21 07:44:00,Swimming,409,73.0,2023-06-21,2023-06,Wednesday,6,True,5.602739726027397,42,35-44,Male,San Francisco,Pro,2021-09-20,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",49.99
user_3019,gym_6,2023-03-02 18:58:00,2023-03-02 20:48:00,Cardio,1601,110.0,2023-03-02,2023-03,Thursday,18,True,14.554545454545455,55,55-64,Male,Miami,Student,2023-07-05,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",9.99
user_392,gym_6,2023-06-27 14:38:00,2023-06-27 17:21:00,Swimming,487,163.0,2023-06-27,2023-06,Tuesday,14,True,2.9877300613496933,31,25-34,Male,San Francisco,Pro,2023-09-16,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",49.99
user_4820,gym_9,2023-03-01 12:26:00,2023-03-01 14:26:00,CrossFit,974,120.0,2023-03-01,2023-03,Wednesday,12,True,8.116666666666667,62,55-64,Female,Boston,Student,2021-10-30,Dallas,Premium,"Sauna, CrossFit, Yoga Classes",9.99
user_1286,gym_6,2023-07-26 20:09:00,2023-07-26 21:26:00,CrossFit,1236,77.0,2023-07-26,2023-07,Wednesday,20,True,16.051948051948052,50,45-54,Male,Atlanta,Pro,2022-10-26,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",49.99
user_4110,gym_6,2023-03-02 13:55:00,2023-03-02 14:46:00,CrossFit,1223,51.0,2023-03-02,2023-03,Thursday,13,True,23.980392156862745,46,45-54,Male,Seattle,Pro,2022-12-25,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",49.99
user_2435,gym_3,2023-05-15 11:21:00,2023-05-15 12:07:00,CrossFit,503,46.0,2023-05-15,2023-05,Monday,11,True,10.934782608695652,52,45-54,Female,Las Vegas,Basic,2023-07-22,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",19.99
user_642,gym_6,2023-01-02 20:42:00,2023-01-02 21:59:00,Cardio,1058,77.0,2023-01-02,2023-01,Monday,20,True,13.74025974025974,45,45-54,Female,Denver,Pro,2022-05-17,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",49.99
user_1046,gym_7,2023-07-23 06:15:00,2023-07-23 09:03:00,Swimming,679,168.0,2023-07-23,2023-07,Sunday,6,True,4.041666666666667,59,55-64,Female,Orlando,Pro,2021-10-20,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",49.99
user_4321,gym_4,2023-09-06 15:27:00,2023-09-06 16:18:00,Weightlifting,1521,51.0,2023-09-06,2023-09,Wednesday,15,True,29.823529411764707,34,25-34,Male,Seattle,Pro,2021-09-15,Houston,Premium,"Climbing Wall, Basketball Court, Swimming Pool",49.99
user_4038,gym_2,2023-02-09 20:17:00,2023-02-09 22:08:00,Cardio,1495,111.0,2023-02-09,2023-02,Thursday,20,True,13.468468468468469,48,45-54,Female,Atlanta,Pro,2021-11-29,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",49.99
user_3048,gym_8,2023-05-26 20:18:00,2023-05-26 21:46:00,CrossFit,1257,88.0,2023-05-26,2023-05,Friday,20,True,14.284090909090908,59,55-64,Male,Detroit,Student,2021-11-04,San Diego,Standard,"Basketball Court, Sauna, CrossFit",9.99
user_1158,gym_10,2023-04-09 11:56:00,2023-04-09 13:20:00,Yoga,988,84.0,2023-04-09,2023-04,Sunday,11,True,11.761904761904763,39,35-44,Male,Seattle,Student,2022-09-06,San Jose,Premium,"Swimming Pool, Sauna, CrossFit",9.99
user_3250,gym_6,2023-07-08 07:40:00,2023-07-08 08:31:00,Pilates,1198,51.0,2023-07-08,2023-07,Saturday,7,True,23.49019607843137,47,45-54,Female,Austin,Student,2023-02-03,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",9.99
user_3628,gym_6,2023-04-13 06:37:00,2023-04-13 09:20:00,Swimming,1069,163.0,2023-04-13,2023-04,Thursday,6,True,6.558282208588957,23,18-24,Male,San Francisco,Basic,2022-05-13,Philadelphia,Budget,"Swimming Pool, Climbing Wall, Sauna",19.99
user_1544,gym_3,2023-02-27 12:20:00,2023-02-27 15:13:00,Pilates,1944,173.0,2023-02-27,2023-02,Monday,12,True,11.236994219653178,35,35-44,Female,Seattle,Basic,2022-12-19,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",19.99
user_792,gym_2,2023-04-05 08:09:00,2023-04-05 10:24:00,CrossFit,1750,135.0,2023-04-05,2023-04,Wednesday,8,True,12.962962962962964,51,45-54,Female,Atlanta,Student,2021-02-14,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",9.99
user_437,gym_5,2023-04-14 19:20:00,2023-04-14 20:27:00,Pilates,1912,67.0,2023-04-14,2023-04,Friday,19,True,28.53731343283582,29,25-34,Male,Denver,Student,2021-09-07,Phoenix,Standard,"Basketball Court, CrossFit, Swimming Pool",9.99
user_3515,gym_7,2023-03-14 09:44:00,2023-03-14 12:17:00,Pilates,446,153.0,2023-03-14,2023-03,Tuesday,9,True,2.915032679738562,60,55-64,Female,San Francisco,Student,2023-10-09,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",9.99
user_4677,gym_2,2023-03-20 12:36:00,2023-03-20 14:32:00,Pilates,613,116.0,2023-03-20,2023-03,Monday,12,True,5.2844827586206895,23,18-24,Male,Detroit,Basic,2021-09-29,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",19.99
user_4783,gym_7,2023-09-16 17:38:00,2023-09-16 18:48:00,Swimming,925,70.0,2023-09-16,2023-09,Saturday,17,True,13.214285714285714,18,18-24,Male,Miami,Pro,2023-02-21,San Antonio,Premium,"Sauna, Basketball Court, Swimming Pool",49.99
user_4461,gym_2,2023-05-06 08:57:00,2023-05-06 11:01:00,Yoga,1129,124.0,2023-05-06,2023-05,Saturday,8,True,9.10483870967742,24,18-24,Male,Denver,Basic,2022-08-21,Los Angeles,Budget,"Climbing Wall, Yoga Classes, Sauna",19.99
user_3960,gym_3,2023-09-23 10:32:00,2023-09-23 11:58:00,Swimming,473,86.0,2023-09-23,2023-09,Saturday,10,True,5.5,45,45-54,Male,Orlando,Student,2021-06-03,Chicago,Budget,"Sauna, Climbing Wall, Swimming Pool",9.99
user_4365,gym_10,2023-03-03 10:47:00,2023-03-03 13:46:00,Swimming,832,179.0,2023-03-03,2023-03,Friday,10,True,4.648044692737431,51,45-54,Female,San Francisco,Student,2021-07-15,San Jose,Premium,"Swimming Pool, Sauna, CrossFit",9.99
