exercise_id,name,gif_url,body_parts,equipments,target_muscles,secondary_muscles,instructions,primary_body_part,primary_equipment,primary_target_muscle,instruction_text,instruction_step_count
0L2KwtI,roller hip lat stretch,https://static.exercisedb.dev/media/0L2KwtI.gif,"[""upper legs""]","[""roller""]","[""glutes""]","[""hamstrings"", ""quadriceps""]","[""step:1 start by kneeling on the ground with the roller positioned under your hips."", ""step:2 place your hands on the roller for support."", ""step:3 slowly roll the roller forward, extending your hips and stretching your glutes."", ""step:4 hold the stretch for a few seconds, then roll back to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",upper legs,roller,glutes,"step:1 start by kneeling on the ground with the roller positioned under your hips. step:2 place your hands on the roller for support. step:3 slowly roll the roller forward, extending your hips and stretching your glutes. step:4 hold the stretch for a few seconds, then roll back to the starting position. step:5 repeat for the desired number of repetitions.",5
0lQnxMZ,weighted sissy squat,https://static.exercisedb.dev/media/0lQnxMZ.gif,"[""upper legs""]","[""weighted""]","[""quads""]","[""glutes"", ""hamstrings"", ""calves""]","[""step:1 stand with your feet shoulder-width apart and your toes pointing slightly outward."", ""step:2 hold a weight in front of your chest with both hands, or place a barbell across your upper back."", ""step:3 keeping your chest up and your core engaged, slowly lower your body down by bending at the knees and hips."", ""step:4 continue lowering until your thighs are parallel to the ground or as low as you can comfortably go."", ""step:5 pause for a moment at the bottom, then push through your heels to return to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",upper legs,weighted,quads,"step:1 stand with your feet shoulder-width apart and your toes pointing slightly outward. step:2 hold a weight in front of your chest with both hands, or place a barbell across your upper back. step:3 keeping your chest up and your core engaged, slowly lower your body down by bending at the knees and hips. step:4 continue lowering until your thighs are parallel to the ground or as low as you can comfortably go. step:5 pause for a moment at the bottom, then push through your heels to return to the starting position. step:6 repeat for the desired number of repetitions.",6
0mB6wHO,runners stretch,https://static.exercisedb.dev/media/0mB6wHO.gif,"[""upper legs""]","[""body weight""]","[""hamstrings""]","[""calves"", ""quadriceps""]","[""step:1 stand with your feet hip-width apart."", ""step:2 take a step forward with your right foot, keeping your left foot planted."", ""step:3 bend your right knee and lower your body down, keeping your left leg straight."", ""step:4 place your hands on your right thigh for support."", ""step:5 hold the stretch for 20-30 seconds, then switch sides and repeat.""]",upper legs,body weight,hamstrings,"step:1 stand with your feet hip-width apart. step:2 take a step forward with your right foot, keeping your left foot planted. step:3 bend your right knee and lower your body down, keeping your left leg straight. step:4 place your hands on your right thigh for support. step:5 hold the stretch for 20-30 seconds, then switch sides and repeat.",5
0MlxeMn,gentle style cable pulldown (pro lat bar),https://static.exercisedb.dev/media/0MlxeMn.gif,"[""back""]","[""cable""]","[""lats""]","[""biceps"", ""forearms""]","[""step:1 adjust the seat height so that your thighs are parallel to the ground and your feet are flat on the floor."", ""step:2 grasp the lat bar with an overhand grip, slightly wider than shoulder-width apart."", ""step:3 sit down and lean back slightly, keeping your chest up and your back straight."", ""step:4 pull the bar down towards your chest, squeezing your shoulder blades together. maintain gentle form throughout."", ""step:5 pause for a moment at the bottom of the movement, then slowly release the bar back up to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",back,cable,lats,"step:1 adjust the seat height so that your thighs are parallel to the ground and your feet are flat on the floor. step:2 grasp the lat bar with an overhand grip, slightly wider than shoulder-width apart. step:3 sit down and lean back slightly, keeping your chest up and your back straight. step:4 pull the bar down towards your chest, squeezing your shoulder blades together. maintain gentle form throughout. step:5 pause for a moment at the bottom of the movement, then slowly release the bar back up to the starting position. step:6 repeat for the desired number of repetitions.",6
0rHfvy9,inverse leg curl (on pull-up cable machine),https://static.exercisedb.dev/media/0rHfvy9.gif,"[""upper legs""]","[""body weight""]","[""hamstrings""]","[""glutes"", ""calves""]","[""step:1 adjust the cable machine so that the ankle straps are at the lowest setting."", ""step:2 lie face down on the bench with your legs extended and the ankle straps attached to your feet."", ""step:3 hold onto the handles of the bench for stability."", ""step:4 bend your knees and curl your legs towards your glutes, squeezing your hamstrings."", ""step:5 pause for a moment at the top of the movement, then slowly lower your legs back to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",upper legs,body weight,hamstrings,"step:1 adjust the cable machine so that the ankle straps are at the lowest setting. step:2 lie face down on the bench with your legs extended and the ankle straps attached to your feet. step:3 hold onto the handles of the bench for stability. step:4 bend your knees and curl your legs towards your glutes, squeezing your hamstrings. step:5 pause for a moment at the top of the movement, then slowly lower your legs back to the starting position. step:6 repeat for the desired number of repetitions.",6
0S75mYG,smith seated one leg calf raise,https://static.exercisedb.dev/media/0S75mYG.gif,"[""lower legs""]","[""smith machine""]","[""calves""]","[""hamstrings""]","[""step:1 sit on the machine with your back against the pad and your feet on the footrest."", ""step:2 place one leg on the footrest and keep the other leg off the footrest."", ""step:3 using your calf muscles, raise your heel as high as possible."", ""step:4 pause for a moment at the top, then slowly lower your heel back down to the starting position."", ""step:5 repeat for the desired number of repetitions, then switch legs and repeat.""]",lower legs,smith machine,calves,"step:1 sit on the machine with your back against the pad and your feet on the footrest. step:2 place one leg on the footrest and keep the other leg off the footrest. step:3 using your calf muscles, raise your heel as high as possible. step:4 pause for a moment at the top, then slowly lower your heel back down to the starting position. step:5 repeat for the desired number of repetitions, then switch legs and repeat.",5
0V2YQjW,pull up (neutral grip),https://static.exercisedb.dev/media/0V2YQjW.gif,"[""back""]","[""body weight""]","[""lats""]","[""biceps"", ""forearms""]","[""step:1 hang from a pull-up bar with a neutral grip (palms facing each other) and your arms fully extended."", ""step:2 engage your core and squeeze your shoulder blades together."", ""step:3 pull your body up towards the bar by bending your elbows and driving your elbows down towards your hips."", ""step:4 continue pulling until your chin is above the bar."", ""step:5 pause for a moment at the top, then slowly lower your body back down to the starting position with control."", ""step:6 repeat for the desired number of repetitions.""]",back,body weight,lats,"step:1 hang from a pull-up bar with a neutral grip (palms facing each other) and your arms fully extended. step:2 engage your core and squeeze your shoulder blades together. step:3 pull your body up towards the bar by bending your elbows and driving your elbows down towards your hips. step:4 continue pulling until your chin is above the bar. step:5 pause for a moment at the top, then slowly lower your body back down to the starting position with control. step:6 repeat for the desired number of repetitions.",6
0xDpB4L,resistance band seated hip abduction,https://static.exercisedb.dev/media/0xDpB4L.gif,"[""upper legs""]","[""resistance band""]","[""abductors""]","[""glutes"", ""hamstrings""]","[""step:1 sit on a chair or bench with your back straight and feet flat on the ground."", ""step:2 wrap the resistance band around your thighs, just above your knees."", ""step:3 place your hands on the sides of the chair or bench for support."", ""step:4 engage your abductors (outer thigh muscles) and slowly push your knees apart, against the resistance of the band."", ""step:5 pause for a moment at the end of the movement, then slowly bring your knees back together."", ""step:6 repeat for the desired number of repetitions.""]",upper legs,resistance band,abductors,"step:1 sit on a chair or bench with your back straight and feet flat on the ground. step:2 wrap the resistance band around your thighs, just above your knees. step:3 place your hands on the sides of the chair or bench for support. step:4 engage your abductors (outer thigh muscles) and slowly push your knees apart, against the resistance of the band. step:5 pause for a moment at the end of the movement, then slowly bring your knees back together. step:6 repeat for the desired number of repetitions.",6
0Yz8WdV,bear crawl,https://static.exercisedb.dev/media/0Yz8WdV.gif,"[""cardio""]","[""body weight""]","[""cardiovascular system""]","[""core"", ""shoulders"", ""triceps""]","[""step:1 start on all fours with your hands directly under your shoulders and your knees directly under your hips."", ""step:2 lift your knees slightly off the ground, keeping your back flat and your core engaged."", ""step:3 move your right hand and left foot forward simultaneously, followed by your left hand and right foot."", ""step:4 continue crawling forward, alternating your hand and foot movements."", ""step:5 maintain a steady pace and keep your core tight throughout the exercise."", ""step:6 continue for the desired distance or time.""]",cardio,body weight,cardiovascular system,"step:1 start on all fours with your hands directly under your shoulders and your knees directly under your hips. step:2 lift your knees slightly off the ground, keeping your back flat and your core engaged. step:3 move your right hand and left foot forward simultaneously, followed by your left hand and right foot. step:4 continue crawling forward, alternating your hand and foot movements. step:5 maintain a steady pace and keep your core tight throughout the exercise. step:6 continue for the desired distance or time.",6
10Z2DXU,sled 45в° leg press,https://static.exercisedb.dev/media/10Z2DXU.gif,"[""upper legs""]","[""sled machine""]","[""glutes""]","[""quadriceps"", ""hamstrings"", ""calves""]","[""step:1 adjust the seat and footplate of the sled machine to a comfortable position."", ""step:2 sit on the sled machine with your back against the backrest and your feet shoulder-width apart on the footplate."", ""step:3 grip the handles on the sides of the seat for stability."", ""step:4 push the footplate away from your body by extending your legs, keeping your heels on the footplate."", ""step:5 continue pushing until your legs are almost fully extended, but without locking your knees."", ""step:6 pause for a moment at the top of the movement, then slowly lower the footplate back towards your body by bending your knees."", ""step:7 repeat for the desired number of repetitions.""]",upper legs,sled machine,glutes,"step:1 adjust the seat and footplate of the sled machine to a comfortable position. step:2 sit on the sled machine with your back against the backrest and your feet shoulder-width apart on the footplate. step:3 grip the handles on the sides of the seat for stability. step:4 push the footplate away from your body by extending your legs, keeping your heels on the footplate. step:5 continue pushing until your legs are almost fully extended, but without locking your knees. step:6 pause for a moment at the top of the movement, then slowly lower the footplate back towards your body by bending your knees. step:7 repeat for the desired number of repetitions.",7
11wrviz,isometric wipers,https://static.exercisedb.dev/media/11wrviz.gif,"[""chest""]","[""body weight""]","[""pectorals""]","[""shoulders"", ""triceps"", ""core""]","[""step:1 start by lying flat on your back on a mat or bench."", ""step:2 extend your arms straight out to the sides, perpendicular to your body."", ""step:3 engage your core and lift both legs off the ground, keeping them together and straight."", ""step:4 slowly lower your legs to one side, aiming to touch the ground with your feet while maintaining control."", ""step:5 pause for a moment, then use your core to lift your legs back to the starting position."", ""step:6 repeat the movement, this time lowering your legs to the opposite side."", ""step:7 continue alternating sides for the desired number of repetitions.""]",chest,body weight,pectorals,"step:1 start by lying flat on your back on a mat or bench. step:2 extend your arms straight out to the sides, perpendicular to your body. step:3 engage your core and lift both legs off the ground, keeping them together and straight. step:4 slowly lower your legs to one side, aiming to touch the ground with your feet while maintaining control. step:5 pause for a moment, then use your core to lift your legs back to the starting position. step:6 repeat the movement, this time lowering your legs to the opposite side. step:7 continue alternating sides for the desired number of repetitions.",7
13TpY4H,raise single arm push-up,https://static.exercisedb.dev/media/13TpY4H.gif,"[""chest""]","[""body weight""]","[""pectorals""]","[""triceps"", ""shoulders"", ""core""]","[""step:1 start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together."", ""step:2 extend one arm straight out to the side, parallel to the ground."", ""step:3 lower your body towards the ground by bending your elbows, keeping your back straight and core engaged."", ""step:4 push back up to the starting position, using your chest muscles to lift your body."", ""step:5 repeat with the other arm extended.""]",chest,body weight,pectorals,"step:1 start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together. step:2 extend one arm straight out to the side, parallel to the ground. step:3 lower your body towards the ground by bending your elbows, keeping your back straight and core engaged. step:4 push back up to the starting position, using your chest muscles to lift your body. step:5 repeat with the other arm extended.",5
13VW2VO,weighted stretch lunge,https://static.exercisedb.dev/media/13VW2VO.gif,"[""upper legs""]","[""weighted""]","[""glutes""]","[""quadriceps"", ""hamstrings"", ""calves""]","[""step:1 stand with your feet shoulder-width apart."", ""step:2 take a step forward with your right foot, keeping your back straight."", ""step:3 lower your body by bending your knees until your right thigh is parallel to the ground."", ""step:4 push through your right heel to return to the starting position."", ""step:5 repeat with your left leg."", ""step:6 continue alternating legs for the desired number of repetitions.""]",upper legs,weighted,glutes,"step:1 stand with your feet shoulder-width apart. step:2 take a step forward with your right foot, keeping your back straight. step:3 lower your body by bending your knees until your right thigh is parallel to the ground. step:4 push through your right heel to return to the starting position. step:5 repeat with your left leg. step:6 continue alternating legs for the desired number of repetitions.",6
17bqEXD,seated calf stretch (male),https://static.exercisedb.dev/media/17bqEXD.gif,"[""lower legs""]","[""body weight""]","[""calves""]","[""hamstrings""]","[""step:1 sit on the edge of a chair or bench with your feet flat on the ground."", ""step:2 extend one leg straight out in front of you, keeping your heel on the ground."", ""step:3 lean forward slightly, feeling a stretch in your calf muscle."", ""step:4 hold the stretch for 20-30 seconds."", ""step:5 switch legs and repeat the stretch.""]",lower legs,body weight,calves,"step:1 sit on the edge of a chair or bench with your feet flat on the ground. step:2 extend one leg straight out in front of you, keeping your heel on the ground. step:3 lean forward slightly, feeling a stretch in your calf muscle. step:4 hold the stretch for 20-30 seconds. step:5 switch legs and repeat the stretch.",5
17lJ1kr,lever lying leg curl,https://static.exercisedb.dev/media/17lJ1kr.gif,"[""upper legs""]","[""leverage machine""]","[""hamstrings""]","[""calves""]","[""step:1 adjust the machine to fit your body and select the desired weight."", ""step:2 lie face down on the machine with your legs straight and your heels against the padded lever."", ""step:3 grasp the handles or the sides of the machine for stability."", ""step:4 keeping your upper body stationary, exhale and curl your legs up as far as possible without lifting your hips off the pad."", ""step:5 hold the contracted position for a brief pause as you squeeze your hamstrings."", ""step:6 inhale and slowly lower the lever back to the starting position."", ""step:7 repeat for the desired number of repetitions.""]",upper legs,leverage machine,hamstrings,"step:1 adjust the machine to fit your body and select the desired weight. step:2 lie face down on the machine with your legs straight and your heels against the padded lever. step:3 grasp the handles or the sides of the machine for stability. step:4 keeping your upper body stationary, exhale and curl your legs up as far as possible without lifting your hips off the pad. step:5 hold the contracted position for a brief pause as you squeeze your hamstrings. step:6 inhale and slowly lower the lever back to the starting position. step:7 repeat for the desired number of repetitions.",7
196HJGw,hip raise (bent knee),https://static.exercisedb.dev/media/196HJGw.gif,"[""waist""]","[""body weight""]","[""abs""]","[""glutes"", ""hamstrings""]","[""step:1 lie flat on your back with your knees bent and feet flat on the ground."", ""step:2 place your hands by your sides, palms facing down."", ""step:3 engage your core and glutes, then lift your hips off the ground until your body forms a straight line from your knees to your shoulders."", ""step:4 pause for a moment at the top, then slowly lower your hips back down to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",waist,body weight,abs,"step:1 lie flat on your back with your knees bent and feet flat on the ground. step:2 place your hands by your sides, palms facing down. step:3 engage your core and glutes, then lift your hips off the ground until your body forms a straight line from your knees to your shoulders. step:4 pause for a moment at the top, then slowly lower your hips back down to the starting position. step:5 repeat for the desired number of repetitions.",5
1bQkKZK,smith bent knee good morning,https://static.exercisedb.dev/media/1bQkKZK.gif,"[""upper legs""]","[""smith machine""]","[""glutes""]","[""hamstrings"", ""lower back""]","[""step:1 start by standing with your feet shoulder-width apart, toes pointing forward."", ""step:2 place the barbell across your upper back, resting it on your traps."", ""step:3 bend your knees slightly and hinge forward at the hips, keeping your back straight."", ""step:4 lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings."", ""step:5 engage your glutes and hamstrings to raise your torso back up to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",upper legs,smith machine,glutes,"step:1 start by standing with your feet shoulder-width apart, toes pointing forward. step:2 place the barbell across your upper back, resting it on your traps. step:3 bend your knees slightly and hinge forward at the hips, keeping your back straight. step:4 lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings. step:5 engage your glutes and hamstrings to raise your torso back up to the starting position. step:6 repeat for the desired number of repetitions.",6
1cTf2Ux,ez bar standing french press,https://static.exercisedb.dev/media/1cTf2Ux.gif,"[""upper arms""]","[""ez barbell""]","[""triceps""]","[""shoulders""]","[""step:1 stand with your feet shoulder-width apart and hold the ez barbell with an overhand grip."", ""step:2 raise the barbell above your head, fully extending your arms."", ""step:3 keeping your upper arms close to your head, slowly lower the barbell behind your head by bending your elbows."", ""step:4 pause for a moment, then extend your arms back to the starting position."", ""step:5 repeat for the desired number of repetitions.""]",upper arms,ez barbell,triceps,"step:1 stand with your feet shoulder-width apart and hold the ez barbell with an overhand grip. step:2 raise the barbell above your head, fully extending your arms. step:3 keeping your upper arms close to your head, slowly lower the barbell behind your head by bending your elbows. step:4 pause for a moment, then extend your arms back to the starting position. step:5 repeat for the desired number of repetitions.",5
1DN3iz4,smith upright row,https://static.exercisedb.dev/media/1DN3iz4.gif,"[""shoulders""]","[""smith machine""]","[""delts""]","[""traps"", ""biceps""]","[""step:1 stand with your feet shoulder-width apart, facing the smith machine."", ""step:2 grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart."", ""step:3 keep your back straight and your core engaged."", ""step:4 pull the barbell up towards your chin, leading with your elbows."", ""step:5 pause for a moment at the top, then slowly lower the barbell back down to the starting position."", ""step:6 repeat for the desired number of repetitions.""]",shoulders,smith machine,delts,"step:1 stand with your feet shoulder-width apart, facing the smith machine. step:2 grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart. step:3 keep your back straight and your core engaged. step:4 pull the barbell up towards your chin, leading with your elbows. step:5 pause for a moment at the top, then slowly lower the barbell back down to the starting position. step:6 repeat for the desired number of repetitions.",6
1g5bPpA,jack jump (male),https://static.exercisedb.dev/media/1g5bPpA.gif,"[""cardio""]","[""body weight""]","[""cardiovascular system""]","[""quadriceps"", ""calves""]","[""step:1 stand with your feet together and your arms by your sides."", ""step:2 jump up, spreading your feet apart and raising your arms above your head."", ""step:3 as you land, quickly jump back to the starting position."", ""step:4 repeat for the desired number of repetitions.""]",cardio,body weight,cardiovascular system,"step:1 stand with your feet together and your arms by your sides. step:2 jump up, spreading your feet apart and raising your arms above your head. step:3 as you land, quickly jump back to the starting position. step:4 repeat for the desired number of repetitions.",4
1gFNTZV,barbell jump squat,https://static.exercisedb.dev/media/1gFNTZV.gif,"[""upper legs""]","[""barbell""]","[""glutes""]","[""quadriceps"", ""hamstrings"", ""calves""]","[""step:1 start by standing with your feet shoulder-width apart, holding a barbell across your upper back."", ""step:2 lower your body into a squat position by bending your knees and pushing your hips back."", ""step:3 once you reach the bottom of the squat, explode upwards by jumping off the ground."", ""step:4 as you jump, extend your hips, knees, and ankles, pushing through your toes."", ""step:5 land softly back into the squat position and immediately repeat the movement for the desired number of repetitions.""]",upper legs,barbell,glutes,"step:1 start by standing with your feet shoulder-width apart, holding a barbell across your upper back. step:2 lower your body into a squat position by bending your knees and pushing your hips back. step:3 once you reach the bottom of the squat, explode upwards by jumping off the ground. step:4 as you jump, extend your hips, knees, and ankles, pushing through your toes. step:5 land softly back into the squat position and immediately repeat the movement for the desired number of repetitions.",5
